question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
336,Computer Science,Computer Organization and Architecture,mcq,Consider a computer with a 4 MHz processor. Its DMA controller can transfer 8 bytes in 1 cycle from a device to main memory through cycle stealing at regular intervals. Which one of the following is the data transfer rate (in bits per second) of the DMA controller if 1% of the processor cycles are used for DMA?,"2,56,000","3,200","25,60,000","32,000",C,,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
337,Computer Science,Engineering Mathematics,mcq,"Let p and q be the following propositions: p: Fail grade can be given. q: Student scores more than 50% marks. Consider the statement: ""Fail grade cannot be given when student scores more than 50% marks."" Which one of the following is the CORRECT representation of the above statement in propositional logic?",q -> not p,q -> p,p -> q,not p -> q,A,,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
338,Computer Science,Programming and Data Structures,mcq,"Consider the following C program. Assume parameters to a function are evaluated from right to left. #include <stdio.h> int g(int p) { printf(""%d"", p); return p; } int h(int q) { printf(""%d"", q); return q; } void f(int x, int y) { g(x); h(y); } int main() { f(g(10),h(20)); } Which one of the following options is the CORRECT output of the above C program?",20101020,10202010,20102010,10201020,A,,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
339,Computer Science,Digital Logic,mcq,"The format of a single-precision floating-point number as per the IEEE 754 standard is: Sign (1 bit), Exponent (8 bits), Mantissa (23 bits). Choose the largest floating-point number among the following options. (A) Sign 0, Exponent 0111 1111, Mantissa 1111 1111 1111 1111 1111 111. (B) Sign 0, Exponent 1111 1110, Mantissa 1111 1111 1111 1111 1111 111. (C) Sign 0, Exponent 1111 1111, Mantissa 1111 1111 1111 1111 1111 111. (D) Sign 0, Exponent 0111 1111, Mantissa 0000 0000 0000 0000 0000 000.",Option A,Option B,Option C,Option D,B,,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
340,Computer Science,Algorithms,mcq,"Let T(n) be the recurrence relation defined as follows: T(0) = 1, T(1) = 2, and T(n) = 5T(n-1) - 6T(n-2) for n >= 2. Which one of the following statements is TRUE?",T(n) = Theta(2^n),T(n) = Theta(n 2^n),T(n) = Theta(3^n),T(n) = Theta(n 3^n),A,,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
341,Computer Science,Calculus,mcq,Let f(x) be a continuous function from R to R such that f(x) = 1 - f(2 - x). Which one of the following options is the CORRECT value of the integral of f(x) dx from 0 to 2?,0,1,2,-1,B,,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
342,Computer Science,Engineering Mathematics,mcq,Let A be the adjacency matrix of a simple undirected graph G. Suppose A is its own inverse. Which one of the following statements is always TRUE?,G is a cycle,G is a perfect matching,G is a complete graph,There is no such graph G,B,,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
343,Computer Science,Probability and Statistics,mcq,"When six unbiased dice are rolled simultaneously, the probability of getting all distinct numbers (i.e., 1, 2, 3, 4, 5, and 6) is",1/324,5/324,7/324,11/324,B,,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
344,Computer Science,Databases,mcq,"Once the DBMS informs the user that a transaction has been successfully completed, its effect should persist even if the system crashes before all its changes are reflected on disk. This property is called",durability,atomicity,consistency,isolation,A,,,Easy,2024,1,PYQ;GATE 2024;GATE CS2,,,,
345,Computer Science,Databases,mcq,"In the context of owner and weak entity sets in the ER (Entity-Relationship) data model, which one of the following statements is TRUE?",The weak entity set MUST have total participation in the identifying relationship,The owner entity set MUST have total participation in the identifying relationship,Both weak and owner entity sets MUST have total participation in the identifying relationship,Neither weak entity set nor owner entity set MUST have total participation in the identifying relationship,A,,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
346,Computer Science,Compiler Design,mcq,"Consider the following two sets: Set X: P. Lexical Analyzer, Q. Syntax Analyzer, R. Intermediate Code Generator, S. Code Optimizer. Set Y: 1. Abstract Syntax Tree, 2. Token, 3. Parse Tree, 4. Constant Folding. Which one of the following options is the CORRECT match from Set X to Set Y?",P-4; Q-1; R-3; S-2,P-2; Q-3; R-1; S-4,P-2; Q-1; R-3; S-4,P-4; Q-3; R-2; S-1,B,,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
347,Computer Science,Theory of Computation,mcq,"Which one of the following regular expressions is equivalent to the language accepted by the DFA given below? (A 2-state DFA with start state 1 (non-final) and final state 2, with 0 self-loop on state 1, 1 transitions between states 1 and 2 in both directions, and 0 self-loop on state 2.)",0*1(0 + 10*1)*,0*(10*11)*0*,0*1(010*1)*0*,0(1 + 0*10*1)*0*,A,,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
348,Computer Science,Computer Networks,msq,Node X has a TCP connection open to node Y. The packets from X to Y go through an intermediate IP router R. Ethernet switch S is the first switch on the network path between X and R. Consider a packet sent from X to Y over this connection. Which of the following statements is/are TRUE about the destination IP and MAC addresses on this packet at the time it leaves X?,The destination IP address is the IP address of R,The destination IP address is the IP address of Y,The destination MAC address is the MAC address of S,The destination MAC address is the MAC address of Y,B,,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
349,Computer Science,Operating System,msq,Which of the following tasks is/are the responsibility/responsibilities of the memory management unit (MMU) in a system with paging-based memory management?,Allocate a new page table for a newly created process,Translate a virtual address to a physical address using the page table,Raise a trap when a virtual address is not found in the page table,Raise a trap when a process tries to write to a page marked with read-only permission in the page table,"B,C,D",,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
350,Computer Science,Operating System,msq,"Consider a process P running on a CPU. Which one or more of the following events will always trigger a context switch by the OS that results in process P moving to a non-running state (e.g., ready, blocked)?",P makes a blocking system call to read a block of data from the disk,"P tries to access a page that is in the swap space, triggering a page fault",An interrupt is raised by the disk to deliver data requested by some other process,A timer interrupt is raised by the hardware,"A,B",,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
351,Computer Science,Databases,msq,Which of the following file organizations is/are I/O efficient for the scan operation in DBMS?,Sorted,Heap,Unclustered tree index,Unclustered hash index,"A,B",,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
352,Computer Science,Databases,msq,Which of the following statements about the Two Phase Locking (2PL) protocol is/are TRUE?,2PL permits only serializable schedules,"With 2PL, a transaction always locks the data item being read or written just before every operation and always releases the lock just after the operation","With 2PL, once a lock is released on any data item inside a transaction, no more locks on any data item can be obtained inside that transaction",A deadlock is possible with 2PL,"A,C,D",,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
353,Computer Science,Computer Networks,msq,Which of the following statements about IPv4 fragmentation is/are TRUE?,The fragmentation of an IP datagram is performed only at the source of the datagram,The fragmentation of an IP datagram is performed at any IP router which finds that the size of the datagram to be transmitted exceeds the MTU,The reassembly of fragments is performed only at the destination of the datagram,The reassembly of fragments is performed at all intermediate routers along the path from the source to the destination,"B,C",,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
354,Computer Science,Compiler Design,msq,Which of the following statements is/are FALSE? (A) An attribute grammar is a syntax-directed definition (SDD) in which the functions in the semantic rules have no side effects. (B) The attributes in a L-attributed definition cannot always be evaluated in a depth-first order. (C) Synthesized attributes can be evaluated by a bottom-up parser as the input is parsed. (D) All L-attributed definitions based on LR(1) grammar can be evaluated using a bottom-up parsing strategy.,A,B,C,D,"B,D",,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
355,Computer Science,Digital Logic,msq,"For a Boolean variable x, which of the following statements is/are FALSE?",x.1 = x,x + 1 = x,x.x = 0,x + x' = 1,"B,C",,,Easy,2024,1,PYQ;GATE 2024;GATE CS2,,,,
356,Computer Science,Computer Organization and Architecture,msq,"An instruction format has the following structure: Instruction Number: Opcode destination reg, source reg-1, source reg-2. Consider the following sequence of instructions to be executed in a pipelined processor: I1: DIV R3, R1, R2; I2: SUB R5, R3, R4; I3: ADD R3, R5, R6; I4: MUL R7, R3, R8. Which of the following statements is/are TRUE?",There is a RAW dependency on R3 between I1 and I2,There is a WAR dependency on R3 between I1 and I3,There is a RAW dependency on R3 between I2 and I3,There is a WAW dependency on R3 between I3 and I4,A,,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
357,Computer Science,Computer Networks,msq,Which of the following fields of an IP header is/are always modified by any router before it forwards the IP packet?,Source IP Address,Protocol,Time to Live (TTL),Header Checksum,"C,D",,,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
358,Computer Science,Programming and Data Structures,msq,Consider the following C function definition. int fX(char *a){ char *b = a; while(*b) b++; return b - a;} Which of the following statements is/are TRUE?,"The function call fX(""abcd"") will always return a value","Assuming a character array c is declared as char c[] = ""abcd"" in main(), the function call fX(c) will always return a value",The code of the function will not compile,"Assuming a character pointer c is declared as char *c = ""abcd"" in main(), the function call fX(c) will always return a value","A,B,D",,,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
359,Computer Science,Engineering Mathematics,nat,"Let P be the partial order defined on the set {1,2,3,4} as follows P = {(x,x) | x in {1,2,3,4}} union {(1,2), (3,2), (3,4)}. The number of total orders on {1,2,3,4} that contain P is __________",,,,,,5,0,Hard,2024,1,PYQ;GATE 2024;GATE CS2,,,,
360,Computer Science,Algorithms,nat,"Let A be an array containing integer values. The distance of A is defined as the minimum number of elements in A that must be replaced with another integer so that the resulting array is sorted in non-decreasing order. The distance of the array [2, 5, 3, 1, 4, 2, 6] is ___________",,,,,,3,0,Medium,2024,1,PYQ;GATE 2024;GATE CS2,,,,
361,Computer Science,Programming and Data Structures,mcq,"What is the output of the following C program? #include <stdio.h> int main() { double a[2]={20.0, 25.0}, *p, *q; p = a; q = p + 1; printf(""%d,%d"", (int)(q - p), (int)(*q - *p)); return 0;}","4,8","1,5","8,5","1,8",B,,,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
362,Computer Science,Operating System,mcq,"Consider a single processor system with four processes A, B, C, and D, represented as given below, where for each process the first value is its arrival time, and the second value is its CPU burst time. A (0, 10), B (2, 6), C (4, 3), and D (6, 7). Which one of the following options gives the average waiting times when preemptive Shortest Remaining Time First (SRTF) and Non-Preemptive Shortest Job First (NP-SJF) CPU scheduling algorithms are applied to the processes?","SRTF = 6, NP-SJF = 7","SRTF = 6, NP-SJF = 7.5","SRTF = 7, NP-SJF = 7.5","SRTF = 7, NP-SJF = 8.5",B,,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
363,Computer Science,Computer Networks,mcq,Which one of the following CIDR prefixes exactly represents the range of IP addresses 10.12.2.0 to 10.12.3.255?,10.12.2.0/23,10.12.2.0/24,10.12.0.0/22,10.12.2.0/22,A,,,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
364,Computer Science,Programming and Data Structures,mcq,"You are given a set V of distinct integers. A binary search tree T is created by inserting all elements of V one by one, starting with an empty tree. The tree T follows the convention that, at each node, all values stored in the left subtree of the node are smaller than the value stored at the node. You are not aware of the sequence in which these values were inserted into T, and you do not have access to T. Which one of the following statements is TRUE?",Inorder traversal of T can be determined from V,Root node of T can be determined from V,Preorder traversal of T can be determined from V,Postorder traversal of T can be determined from V,A,,,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
365,Computer Science,Compiler Design,mcq,"Consider the following context-free grammar where the start symbol is S and the set of terminals is {a,b,c,d}. S -> AaAb | BbBa, A -> cS | epsilon, B -> dS | epsilon. The following is a partially-filled LL(1) parsing table with entries missing at cells (1) [S,c], (2) [S,d], (3) [A,b], (4) [B,a]. Which one of the following options represents the CORRECT combination for the numbered cells in the parsing table?",(1) S->AaAb (2) S->BbBa (3) A->epsilon (4) B->epsilon,(1) S->BbBa (2) S->AaAb (3) A->epsilon (4) B->epsilon,(1) S->AaAb (2) S->BbBa (3) blank (4) blank,(1) S->BbBa (2) S->AaAb (3) blank (4) blank,A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
366,Computer Science,Theory of Computation,mcq,"Let M be the 5-state NFA with epsilon-transitions shown in the diagram below (state 1 is start, states 2 and 5 are final; 1 has epsilon transitions to 2 and 4; 2 and 3 have 0 transitions between them both ways; 3 has an epsilon transition to 5; 4 and 5 have 1 transitions between them both ways). Which one of the following regular expressions represents the language accepted by M?",(00)* + 1(11)*,0* + (1 + 0(00)*)(11)*,(00)* + (1 + (00)*)(11)*,0+ + 1(11)* + 0(11)*,B,,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
367,Computer Science,Programming and Data Structures,mcq,"Consider an array X that contains n positive integers. A subarray of X is defined to be a sequence of array locations with consecutive indices. The C code snippet given below has been written to compute the length of the longest subarray of X that contains at most two distinct integers. int first=0, second=0, len1=0, len2=0, maxlen=0; for (int i=0; i < n; i++) { if (X[i] == first) { len2++; len1++; } else if (X[i] == second) { len2++; len1 = (P); second = first; } else { len2 = (Q); len1 = 1; second = first; } if (len2 > maxlen) { maxlen = len2; } first = X[i]; } Which one of the following options gives the CORRECT missing expressions (P) and (Q)? (Hint: At the end of the i-th iteration, len1 is the length of the longest subarray ending with X[i] that contains all equal values, and len2 is the length of the longest subarray ending with X[i] that contains at most two distinct values.)",(P) len1+1 (Q) len2+1,(P) 1 (Q) len1+1,(P) 1 (Q) len2+1,(P) len2+1 (Q) len1+1,B,,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
368,Computer Science,Compiler Design,mcq,"Consider the following expression: x[i] = (p + r) * -s[i] + u/w. The following sequence shows the list of triples representing the given expression, with entries missing for triples (1), (3), and (6). (0) + p r; (1) ?; (2) uminus (1); (3) ?; (4) / u w; (5) + (3) (4); (6) ?; (7) = (6) (5). Which one of the following options fills in the missing entries CORRECTLY?",(1) =[] s i (3) * (0) (2) (6) []= x i,(1) []= s i (3) - (0) (2) (6) =[] x (5),(1) =[] s i (3) * (0) (2) (6) []= x (5),(1) []= s i (3) - (0) (2) (6) =[] x i,A,,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
369,Computer Science,Probability and Statistics,mcq,"Let x and y be random variables, not necessarily independent, that take real values in the interval [0,1]. Let z = xy and let the mean values of x, y, z be x-bar, y-bar, z-bar, respectively. Which one of the following statements is TRUE?",z-bar = x-bar * y-bar,z-bar <= x-bar * y-bar,z-bar >= x-bar * y-bar,z-bar <= x-bar,D,,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
370,Computer Science,Databases,mcq,"The relation schema, Person(pid,city), describes the city of residence for every person uniquely identified by pid. The following relational algebra operators are available: selection, projection, cross product, and rename. To find the list of cities where at least 3 persons reside, using the above operators, the minimum number of cross product operations that must be used is",1,2,3,4,B,,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
371,Computer Science,Operating System,msq,Consider a multi-threaded program with two threads T1 and T2. The threads share two semaphores: s1 (initialized to 1) and s2 (initialized to 0). The threads also share a global variable x (initialized to 0). T1 code: wait(s1); x=x+1; print(x); wait(s2); signal(s1). T2 code: wait(s1); x=x+1; print(x); signal(s2); signal(s1). Which of the following outcomes is/are possible when threads T1 and T2 execute concurrently?,"T1 runs first and prints 1, T2 runs next and prints 2","T2 runs first and prints 1, T1 runs next and prints 2","T1 runs first and prints 1, T2 does not print anything (deadlock)","T2 runs first and prints 1, T1 does not print anything (deadlock)","B,C",,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
372,Computer Science,Engineering Mathematics,msq,Let A be an n x n matrix over the set of all real numbers R. Let B be a matrix obtained from A by swapping two rows. Which of the following statements is/are TRUE?,The determinant of B is the negative of the determinant of A,"If A is invertible, then B is also invertible","If A is symmetric, then B is also symmetric","If the trace of A is zero, then the trace of B is also zero","A,B",,,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
373,Computer Science,Programming and Data Structures,msq,"Let S1 and S2 be two stacks. S1 has capacity of 4 elements. S2 has capacity of 2 elements. S1 already has 4 elements: 100, 200, 300, and 400 (400 on top), whereas S2 is empty. Only the following three operations are available: PushToS2: Pop the top element from S1 and push it on S2. PushToS1: Pop the top element from S2 and push it on S1. GenerateOutput: Pop the top element from S1 and output it to the user. Note that the pop operation is not allowed on an empty stack and the push operation is not allowed on a full stack. Which of the following output sequences can be generated by using the above operations?","100, 200, 400, 300","200, 300, 400, 100","400, 200, 100, 300","300, 200, 400, 100","B,C,D",,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
374,Computer Science,Digital Logic,msq,"Which of the following is/are EQUAL to 224 in radix-5 (i.e., base-5) notation?",64 in radix-10,100 in radix-8,50 in radix-16,121 in radix-7,"A,B,D",,,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
375,Computer Science,Digital Logic,msq,"Consider 4-variable functions f1, f2, f3, f4 expressed in sum-of-minterms form as given below. f1 = sum(0,2,3,5,7,8,11,13); f2 = sum(1,3,5,7,11,13,15); f3 = sum(0,1,4,11); f4 = sum(0,2,6,13). A circuit ANDs f1 and f2, ORs f3 and f4, then XORs the two results to produce Y. With respect to the circuit given above, which of the following options is/are CORRECT?","Y = sum(0,1,2,11,13)","Y = prod(3,4,5,6,7,8,9,10,12,14,15)","Y = sum(0,1,2,3,4,5,6,7)","Y = prod(8,9,10,11,12,13,14,15)","C,D",,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
376,Computer Science,Algorithms,msq,Let G be an undirected connected graph in which every edge has a positive integer weight. Suppose that every spanning tree in G has even weight. Which of the following statements is/are TRUE for every such graph G?,All edges in G have even weight,All edges in G have even weight OR all edges in G have odd weight,"In each cycle C in G, all edges in C have even weight","In each cycle C in G, either all edges in C have even weight OR all edges in C have odd weight",D,,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
377,Computer Science,Theory of Computation,msq,"Consider a context-free grammar G with the following 3 rules. S -> aS, S -> aSbS, S -> c. Let w be in L(G). Let na(w), nb(w), nc(w) denote the number of times a, b, c occur in w, respectively. Which of the following statements is/are TRUE?",na(w) > nb(w),na(w) > nc(w) - 2,nc(w) = nb(w) + 1,nc(w) = nb(w) * 2,"B,C",,,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
378,Computer Science,Computer Organization and Architecture,nat,"Consider a disk with the following specifications: rotation speed of 6000 RPM, average seek time of 5 milliseconds, 500 sectors/track, 512-byte sectors. A file has content stored in 3000 sectors located randomly on the disk. Assuming average rotational latency, the total time (in seconds, rounded off to 2 decimal places) to read the entire file from the disk is _________",,,,,,29.50 to 30.50,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
379,Computer Science,Computer Networks,nat,"Consider a TCP connection operating at a point of time with the congestion window of size 12 MSS (Maximum Segment Size), when a timeout occurs due to packet loss. Assuming that all the segments transmitted in the next two RTTs (Round Trip Time) are acknowledged correctly, the congestion window size (in MSS) during the third RTT will be _________",,,,,,4,0,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
380,Computer Science,Computer Networks,nat,"Consider an Ethernet segment with a transmission speed of 10^8 bits/sec and a maximum segment length of 500 meters. If the speed of propagation of the signal in the medium is 2x10^8 meters/sec, then the minimum frame size (in bits) required for collision detection is _________",,,,,,500,0,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
381,Computer Science,Databases,nat,"A functional dependency F: X -> Y is termed as a useful functional dependency if and only if it satisfies all the following three conditions: X is not the empty set, Y is not the empty set, Intersection of X and Y is the empty set. For a relation R with 4 attributes, the total number of possible useful functional dependencies is ________",,,,,,50,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
382,Computer Science,Computer Organization and Architecture,nat,"A processor with 16 general purpose registers uses a 32-bit instruction format. The instruction format consists of an opcode field, an addressing mode field, two register operand fields, and a 16-bit scalar field. If 8 addressing modes are to be supported, the maximum number of unique opcodes possible for every addressing mode is _________",,,,,,32,0,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
383,Computer Science,Computer Organization and Architecture,nat,"A non-pipelined instruction execution unit operating at 2 GHz takes an average of 6 cycles to execute an instruction of a program P. The unit is then redesigned to operate on a 5-stage pipeline at 2 GHz. Assume that the ideal throughput of the pipelined unit is 1 instruction per cycle. In the execution of program P, 20% instructions incur an average of 2 cycles stall due to data hazards and 20% instructions incur an average of 3 cycles stall due to control hazards. The speedup (rounded off to one decimal place) obtained by the pipelined design over the non-pipelined design is _________",,,,,,2.9 to 3.1,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
384,Computer Science,Algorithms,nat,"The number of distinct minimum-weight spanning trees of the following graph is _________ (weighted graph on vertices a,b,c,d,e,f,g with given edge weights forming multiple equal-weight MST options)",,,,,,9,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
385,Computer Science,Algorithms,nat,The chromatic number of a graph is the minimum number of colours used in a proper colouring of the graph. The chromatic number of the following graph is _________ (an 8-vertex graph arranged in an octagon with additional crossing diagonal edges),,,,,,2,0,Medium,2024,2,PYQ;GATE 2024;GATE CS2,,,,
386,Computer Science,Computer Organization and Architecture,nat,"A processor uses a 32-bit instruction format and supports byte-addressable memory access. The ISA of the processor has 150 distinct instructions. The instructions are equally divided into two types, namely R-type and I-type. In the OPCODE, 1 bit is used to distinguish between I-type and R-type instructions and the remaining bits indicate the operation. The processor has 50 architectural registers, and all register fields in the instructions are of equal size. Let X be the number of bits used to encode the UNUSED field (R-type), Y be the number of bits used to encode the OPCODE field, and Z be the number of bits used to encode the immediate value/address field (I-type). The value of X + 2Y + Z is ________",,,,,,34,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
387,Computer Science,Theory of Computation,nat,"Let L1 be the language represented by the regular expression b*ab*(ab*ab*)* and L2 = { w in (a+b)* | |w| <= 4 }, where |w| denotes the length of string w. The number of strings in L2 which are also in L1 is ___________",,,,,,15,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
388,Computer Science,Engineering Mathematics,nat,"Let Zn be the group of integers {0, 1, 2, ..., n-1} with addition modulo n as the group operation. The number of elements in the group Z2 x Z3 x Z4 that are their own inverses is ________",,,,,,4,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
389,Computer Science,Operating System,nat,"Consider a 32-bit system with 4 KB page size and page table entries of size 4 bytes each. Assume 1 KB = 2^10 bytes. The OS uses a 2-level page table for memory management, with the page table containing an outer page directory and an inner page table. The OS allocates a page for the outer page directory upon process creation. The OS uses demand paging when allocating memory for the inner page table, i.e., a page of the inner page table is allocated only if it contains at least one valid page table entry. An active process in this system accesses 2000 unique pages during its execution, and none of the pages are swapped out to disk. After it completes the page accesses, let X denote the minimum and Y denote the maximum number of pages across the two levels of the page table of the process. The value of X+Y is ________",,,,,,1028,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
390,Computer Science,Compiler Design,nat,"Consider the following augmented grammar, which is to be parsed with a SLR parser. The set of terminals is {a,b,c,d,#,@}. S' -> S; S -> SS | Aa | bAc | Bc | bBa; A -> d#; B -> @. Let I0 = CLOSURE({S' -> .S}). The number of items in the set GOTO(I0, S) is ___________",,,,,,9,0,Hard,2024,2,PYQ;GATE 2024;GATE CS2,,,,
391,General Aptitude,General Aptitude,mcq,"If '->' denotes increasing order of intensity, then the meaning of the words [sick -> infirm -> moribund] is analogous to [silly -> _______ -> daft]. Which one of the given options is appropriate to fill the blank?",frown,fawn,vein,vain,D,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
392,General Aptitude,General Aptitude,mcq,The 15 parts of the given figure are to be painted such that no two adjacent parts with shared boundaries (excluding corners) have the same color. The minimum number of colors required is,4,3,5,6,A,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
393,General Aptitude,General Aptitude,mcq,"How many 4-digit positive integers divisible by 3 can be formed using only the digits {1, 3, 4, 6, 7}, such that no digit appears more than once in a number?",24,48,72,12,B,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
394,General Aptitude,General Aptitude,mcq,The sum of the following infinite series is 2 + 1/2 + 1/3 + 1/4 + 1/8 + 1/9 + 1/16 + 1/27 + ...,11/3,7/2,13/4,9/2,B,,,Hard,2024,1,PYQ;GATE 2024;GATE DA,,,,
395,General Aptitude,General Aptitude,mcq,"In an election, the share of valid votes received by the four candidates A, B, C, and D is represented by the pie chart shown (A 40%, B 25%, C 20%, D 15%). The total number of votes cast in the election were 1,15,000, out of which 5,000 were invalid. Based on the data provided, the total number of valid votes received by the candidates B and C is","45,000","49,500","51,750","54,000",B,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
396,General Aptitude,General Aptitude,mcq,"Thousands of years ago, some people began dairy farming. This coincided with a number of mutations in a particular gene that resulted in these people developing the ability to digest dairy milk. Based on the given passage, which of the following can be inferred?",All human beings can digest dairy milk.,No human being can digest dairy milk.,Digestion of dairy milk is essential for human beings.,"In human beings, digestion of dairy milk resulted from a mutated gene.",D,,,Medium,2024,2,PYQ;GATE 2024;GATE DA,,,,
397,General Aptitude,General Aptitude,mcq,"The probability of a boy or a girl being born is 1/2. For a family having only three children, what is the probability of having two girls and one boy?",3/8,1/8,1/4,1/2,A,,,Medium,2024,2,PYQ;GATE 2024;GATE DA,,,,
398,General Aptitude,General Aptitude,mcq,"Person 1 and Person 2 invest in three mutual funds A, B, and C. Person 1 invests Rs 10,000, Rs 20,000, and Rs 20,000 in funds A, B, and C respectively, and Person 2 invests Rs 20,000, Rs 15,000, and Rs 15,000 respectively. At the end of one year, the total amount that Person 1 gets is Rs 500 more than Person 2. The annual rate of return for the mutual funds B and C is 15% each. What is the annual rate of return for the mutual fund A?",7.5%,10%,15%,20%,B,,,Hard,2024,2,PYQ;GATE 2024;GATE DA,,,,
399,General Aptitude,General Aptitude,mcq,"Three different views of a dice are shown in the figure below, showing faces 5,4,1 / 4,6,3 / 2,6,5 in different orientations. The piece of paper that can be folded to make this dice is",Option A,Option B,Option C,Option D,A,,,Hard,2024,2,PYQ;GATE 2024;GATE DA,,,,
400,General Aptitude,General Aptitude,mcq,"Visualize two identical right circular cones such that one is inverted over the other and they share a common circular base. If a cutting plane passes through the vertices of the assembled cones, what shape does the outer boundary of the resulting cross-section make?",A rhombus,A triangle,An ellipse,A hexagon,A,,,Medium,2024,2,PYQ;GATE 2024;GATE DA,,,,
401,Data Science and Artificial Intelligence,Probability and Statistics,mcq,"Consider the following statements: (i) The mean and variance of a Poisson random variable are equal. (ii) For a standard normal random variable, the mean is zero and the variance is one. Which ONE of the following options is correct?",Both (i) and (ii) are true,(i) is true and (ii) is false,(ii) is true and (i) is false,Both (i) and (ii) are false,A,,,Easy,2024,1,PYQ;GATE 2024;GATE DA,,,,
402,Data Science and Artificial Intelligence,Probability and Statistics,mcq,Three fair coins are tossed independently. T is the event that two or more tosses result in heads. S is the event that two or more tosses result in tails. What is the probability of the event T intersect S?,0,0.5,0.25,1,A,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
403,Data Science and Artificial Intelligence,Linear Algebra,mcq,"Consider the matrix M = [[2, -1], [3, 1]]. Which ONE of the following statements is TRUE?",The eigenvalues of M are non-negative and real.,The eigenvalues of M are complex conjugate pairs.,"One eigenvalue of M is positive and real, and another eigenvalue of M is zero.","One eigenvalue of M is non-negative and real, and another eigenvalue of M is negative and real.",B,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
404,Data Science and Artificial Intelligence,Algorithms,mcq,"Consider performing depth-first search (DFS) on an undirected and unweighted graph G starting at vertex s. For any vertex u in G, d[u] is the length of the shortest path from s to u. Let (u, v) be an edge in G such that d[u] < d[v]. If the edge (u, v) is explored first in the direction from u to v during the above DFS, then (u, v) becomes a ______ edge.",tree,cross,back,gray,A,,,Medium,2024,1,PYQ;GATE 2024;GATE DA,,,,
